cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/31/2016,11/3/2016,"ABC News/Washington Post","A+",1419,"lv",5.668445,47,43,4,,45.15284,41.80075,4.44393,,"","http://abcnews.go.com/Politics/clinton-rebounds-enthusiasm-trump-slips-tight-race-poll/story?id=43309964",48363,75822,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/30/2016,11/3/2016,"Ipsos","A-",2021,"lv",5.571957,43.2,38.3,5.9,,42.86602,38.3088,6.322977,,"","http://polling.reuters.com/#poll/TM651Y15_26/filters/LIKELY:1",48359,75827,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",11/1/2016,11/3/2016,"Fox News/Anderson Robbins Research/Shaw & Company Research","A",1107,"lv",4.206691,45.5,44,5,,46.43764,43.99808,4.764086,,"*","http://www.foxnews.com/politics/interactive/2016/11/04/fox-news-poll-results-11416/",48361,75811,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",11/1/2016,11/3/2016,"Marist College","A",940,"lv",4.005167,44,43,6,,42.44855,43.21062,4.597227,,"","http://www.mcclatchydc.com/news/politics-government/election/article112635048.html",48362,75818,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Wisconsin",10/26/2016,10/31/2016,"Marquette University","A",1255,"lv",3.99187,46,40,4,,45.60408,41.0764,2.52657,,"","https://twitter.com/MULawPoll",48095,75264,11/2/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Virginia",11/3/2016,11/4/2016,"Public Policy Polling","B+",1238,"lv",3.923524,48,43,1,,47.26023,42.19318,2.132531,,"","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf",48349,75743,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/31/2016,10/31/2016,"Gravis Marketing","B-",5360,"rv",3.892097,46,45,4,,45.99894,44.77669,4.313681,,"","http://www.realclearpolitics.com/docs/2016/Gravis_November_3rd_2016.pdf",48262,75570,11/3/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Virginia",10/27/2016,10/30/2016,"ABC News/Washington Post","A+",1024,"lv",3.632387,48,42,6,,45.94699,41.76645,5.849149,,"","https://www.washingtonpost.com/local/virginia-politics/clinton-leads-trump-in-virginia-in-new-washington-post-poll-propelled-by-voter-rich-northern-virginia/2016/10/31/1e560cce-9f9c-11e6-8832-23a007c77bb4_story.html",47880,74934,11/1/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/25/2016,10/31/2016,"Google Consumer Surveys","B",24316,"lv",3.467754,37.69,35.07,6.18,,42.54391,41.80941,5.127659,,"","https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS",47940,74999,11/1/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"North Carolina",10/31/2016,11/1/2016,"Public Policy Polling","B+",1169,"lv",3.418574,49,47,,,47.80804,46.14169,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48326,75699,11/4/16,"23:06:17  4 Nov 2016"
